,Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
1421,PM3306993,1191_0072,1025 Thomas Jefferson Street,2016,In Compliance,1025 THOMAS JEFFERSON ST NW,1025 THOMAS JEFFERSON INC,2.0,WASHINGTON,DC,20007.0,1984,Office,Office,451939.0,365917.0,91,50.6,50.5,158.9,158.4,2123.2,5.8,4187.0,5426089.6,,38.90333924,-77.05929918
1423,PM1765382,0216_0800,1000 Vermont Avenue SPE LLC,2016,In Compliance,1000 VERMONT AV NW,1000 VERMONT AVENUE SPE LLC,2.0,WASHINGTON,DC,20005.0,1950,Office,Office,103407.0,89609.0,84,50.8,50.8,159.5,159.5,522.0,5.8,1725.0,1334047.1,,38.90296273,-77.0338974
1425,PM4023596,0183_0847,American Federation  of State County && Municiple Employees,2016,In Compliance,1625 L ST NW,AFSCME BUILDING CORPORATION,2.0,WASHINGTON,DC,20036.0,1955,Office,Office,75033.0,75033.0,82,59.8,60.3,160.5,160.4,454.3,6.1,1275.7,1027438.1,9845.752537,38.9040539,-77.03776733
1426,PM1447242,0677_0145,10 G,2016,In Compliance,10 G ST NE,APA TEN G LLC,6.0,WASHINGTON,DC,20002.0,1997,Office,Office,274960.0,280169.0,95,51.1,51.1,160.6,160.6,1643.4,5.9,5243.6,4199995.5,,38.8990745,-77.00813670000001
1427,PM1309871,0676_0114,801 North Capitol Street,2016,In Compliance,801 NORTH CAPITOL ST NE,ASB 801 NORTH CAPITOL LLC,6.0,WASHINGTON,DC,20002.0,1966,Office,Office,98980.0,120921.0,88,53.2,53.6,160.9,161.3,715.9,5.9,1659.4,1781834.9,3513.385021,38.90051039,-77.00860802
1428,PM1034322,0197_0853,American Chemical Society - Headquarters,2016,In Compliance,1155 16TH ST NW,AMERICAN CHEMICAL SOCIETY,2.0,WASHINGTON,DC,20036.0,1959,Office,Office,144462.0,115470.0,89,72.1,74.2,161.0,163.2,732.2,6.3,1618.0,1381408.4,36089.5224,38.90536939,-77.03605573
1429,PM3500320,0628_0901,20 F Street,2016,In Compliance,20 F ST NW,AMERICAN COLLEGE OF SURGEONS,6.0,WASHINGTON,DC,20001.0,2010,Office,Office,173460.0,178148.0,81,51.3,50.8,161.2,159.4,1049.0,5.9,3947.8,2680889.6,,38.89705702,-77.00997618
1431,PM1188995,0285_0048,1201 Eye Street,2016,In Compliance,1201 I ST NW,1215 I STREET NW ASSOCS LTD PARTNERSHIP,2.0,WASHINGTON,DC,20005.0,2001,Office,Office,274387.0,305868.0,83,51.4,51.4,161.5,161.5,1804.5,5.9,2625.1,4611739.4,,38.90163885,-77.02856162
1433,PM2722082,0674_0853,Sentinel Square I,2016,In Compliance,90 K ST NE,SENTINEL SQUARE 1 LLC,6.0,WASHINGTON,DC,20002.0,2009,Office,Office,450000.0,435400.0,87,51.5,51.5,161.8,161.8,2572.8,5.9,5161.6,6575264.1,,38.90288459,-77.00664418
1434,PM1345607,0622_0089,800 N CAPITOL,2016,In Compliance,800 NORTH CAPITOL ST NW,WEH CAPTIOL LLC,6.0,WASHINGTON,DC,20002.0,1991,Office,Office,417455.0,336820.0,91,51.6,50.7,162.0,159.3,1992.2,5.9,8078.5,5092006.5,,38.9005122,-77.00973054
1435,PM1061926,0162_0092,02217 - 1100 17th Street NW,2016,In Compliance,1100 17TH ST NW,LIBERTY 1100 17TH STREET LP,2.0,WASHINGTON,DC,20036.0,1962,Office,Office,157120.0,151599.0,87,63.2,63.9,162.1,160.6,1005.9,6.6,2976.0,2034921.1,26393.56094,38.90417969,-77.03875448
1436,PM1997814,0115_0084,1300 19th St NW,2016,In Compliance,1300 19TH ST NW,N19 ASSOCIATES LLC,2.0,WASHINGTON,DC,20036.0,1978,Office,Office,132359.0,133338.0,89,51.7,52.3,162.3,164.4,790.4,5.9,1386.9,2020083.5,,38.90746661,-77.04397876
1439,PM1257644,0142_0825,Northwestern Building,2016,In Compliance,1800 G ST NW,NORTHWESTERN DEVELOPMENT CO,2.0,WASHINGTON,DC,20006.0,1965,Office,Office,813848.0,737365.0,85,60.1,60.7,163.0,163.3,4524.2,6.1,11889.0,10325035.9,91149.04406,38.89815735,-77.04194505
1440,PM1257639,0164_0035,Blake Building,2016,In Compliance,1025 CONNECTICUT AV NW,BLAKE DEVELOPMENT COMPANY,2.0,WASHINGTON,DC,20036.0,1967,Office,Office,466690.0,353236.0,87,63.8,65.0,163.2,164.5,2208.4,6.3,5951.6,4768182.9,57877.884529999996,38.90359373,-77.03933901
1443,PM2364583,0139_0074,1818 N St,2016,In Compliance,1818 N ST NW,LENKIN-N LP,2.0,WASHINGTON,DC,20036.0,1983,Office,Office,101988.0,108209.0,87,52.0,52.0,163.4,163.4,645.7,6.0,1542.9,1650080.8,,38.90712733,-77.04274445
1444,PM1497374,0197_0079,"1156 Fifteenth, LLC",2016,In Compliance,1156 15TH ST NW,1156 FIFTEENTH LLC,2.0,WASHINGTON,DC,20005.0,1968,Office,Office,260598.0,177404.0,86,63.8,62.0,163.5,157.9,1167.2,6.6,5269.4,2417232.7,3157.399958,38.90539132,-77.03479492
1445,PM1421555,0157_0850,Bernstein Offit Building,2016,In Compliance,1717 MASSACHUSETTS AV NW,THE JOHN HOPKINS UNIVERSITY,2.0,WASHINGTON,DC,20036.0,1963,Office,Office,147542.0,122460.0,84,78.5,80.0,163.6,163.3,803.4,6.6,1371.8,1392370.8,48680.308280000005,38.90872163,-77.03950985
1446,PM1407276,0290_0044,1299 Pennsylvania Ave NW,2016,In Compliance,0501 13TH ST NW,WARNER INVESTMENTS LP,2.0,WASHINGTON,DC,20221.0,1991,Office,Office,641215.0,769685.0,83,52.2,52.2,164.0,164.0,4611.3,6.0,9923.0,11785068.2,,38.89649317,-77.02826612
1447,PM3500466,0116_0077,1200 Nineteenth Street Benchmarking,2016,In Compliance,1200 19TH ST NW,1200 NINETEENTH STREET LLC,2.0,WASHINGTON,DC,20036.0,1964,Office,Office,321408.0,354926.0,88,57.9,57.1,164.1,161.6,2171.3,6.1,7366.3,5142263.5,29978.59803,38.9061145,-77.04387105
1448,PM1273462,1171_2893,Harbourside,2016,In Compliance,2900 K ST NW,THE RESIDENCES @ HARBOURSIDE,2.0,WASHINGTON,DC,20007.0,2009,Office,Office,99485.0,160514.0,85,52.6,51.1,164.2,159.6,932.3,5.8,4535.6,2454729.9,604.078864,38.90199219,-77.05863574
1451,PM1583321,0625_0061,Republic Square - 25 Mass Ave,2016,In Compliance,25 MASSACHUSETTS AVE NW,T-C REPUBLIC SQUARE OWNER LLC,6.0,WASHINGTON,DC,20001.0,2006,Office,Office,551388.0,402012.0,87,53.4,53.5,164.7,164.7,2427.3,6.0,5396.5,6123567.4,5882.383879999999,38.89846544,-77.01041674
1452,PM4357992,0494_0860,475 School st,2016,In Compliance,0475 SCHOOL ST SW,TELLURIUM LLC,6.0,WASHINGTON,DC,20024.0,1968,Office,Office,80612.0,60000.0,87,52.5,52.5,164.8,164.8,361.1,6.0,246.6,922803.2,,38.88422764,-77.01881121
1453,PM1330640,0185_0828,1625 Eye Street,2016,In Compliance,1625 I ST NW,BFP 1625 EYE CO LLC,2.0,WASHINGTON,DC,20006.0,2002,Office,Office,624620.0,421736.0,89,52.5,52.5,164.9,164.9,2540.4,6.0,10421.0,6492324.3,,38.90172313,-77.03760436
1455,PM1326900,0376_0828,0975 F Street NW (Carroll Square),2016,In Compliance,977 - 979 F ST NW,ST PATRICK'S CHURCH,2.0,WASHINGTON,DC,20004.0,2006,Office,Office,179929.0,187954.0,84,52.6,52.5,165.2,165.0,1134.3,6.0,8307.4,2898902.6,,38.89764136,-77.0250236
1457,PM2482515,0711_0809,Two Constitution Square,2016,In Compliance,145 N ST NE,TWO CON LLC,6.0,WASHINGTON,DC,20002.0,2010,Office,Office,589000.0,623532.0,90,52.8,52.2,165.9,164.0,3777.0,6.1,6043.9,9652653.6,,38.90689827,-77.00457792
1458,PM2729439,0127_0055,800 17TH ST,2016,In Compliance,800 17TH ST NW,T C 800 17TH STREET NW OWNER LLC,2.0,WASHINGTON,DC,20006.0,2010,Office,Office,431570.0,390731.0,80,52.9,52.9,166.2,166.2,2371.4,6.1,5615.6,6060560.3,,38.90077894,-77.03974474
1459,PM2962687,0162_0101,1133 Connecticut Ave,2016,In Compliance,1133 CONNECTICUT AVE NW,CONNECTICUT / DESALES LLC,2.0,WASHINGTON,DC,20036.0,1988,Office,Office,236563.0,190958.0,78,52.9,52.9,166.2,166.2,1159.2,6.1,2424.7,2962624.3,,38.90498472,-77.04024599
1460,PM2256994,1666_0804,5101 Wisconsin,2016,In Compliance,5101 WISCONSIN AV NW,GARRISON ASSOCIATES LLC,3.0,WASHINGTON,DC,20016.0,1976,Office,Office,102638.0,61855.0,78,53.0,53.0,166.3,166.3,375.6,6.1,210.0,959914.2,,38.95627793,-77.08299919
1461,PM1397627,0250_0841,The Associations,2016,In Compliance,1307 NEW YORK AV,AMERICAN ASSOC OF STATE COLLEGES AND UNIVERSITIES,2.0,WASHINGTON,DC,20005.0,1923,Office,Office,144144.0,131330.0,82,53.0,52.6,166.4,165.2,798.2,6.1,2546.2,2039905.8,,38.90054206,-77.03041573
1465,PM3509604,0157_0864,Brookings Institution,2016,In Compliance,1775 MASSACHUSETTS AV NW,BROOKINGS INSTITUTION,2.0,WASHINGTON,DC,20036.0,1959,Office,Office,173315.0,112278.0,80,71.4,72.5,166.8,165.8,729.6,6.5,2463.5,1446594.7,30794.012130000003,38.90913211,-77.04064606
1466,PM3988101,0195_0848,Carnegie Institution of Washington,2016,In Compliance,1530 P ST NW,CARNEGIE INSTITUTION OF WASHINGTON,2.0,WASHINGTON,DC,20005.0,1909,Office,Office,51761.0,51761.0,56,73.9,75.0,167.1,166.7,339.7,6.6,270.3,649516.2,16100.0574,38.90942147,-77.0359486
1467,PM1583325,0267_0042,PORTALS III-1201 Maryland Avenue,2016,In Compliance,1201 MARYLAND AVE SW,PARCEL 47D LLC,6.0,WASHINGTON,DC,20024.0,2006,Office,Office,806904.0,519213.0,80,53.2,53.2,167.2,167.2,8285.0,16.0,6968.6,8101380.4,,38.88488136,-77.02866683
1468,PM3470446,0465_0096,Constitution Center,2016,In Compliance,0400 7TH ST SW,CC OWNER LLC,6.0,WASHINGTON,DC,20024.0,1970,Office,Office,1336013.0,1582262.0,89,61.2,61.1,167.4,166.1,9950.1,6.3,20349.4,22888962.8,187133.3354,38.88468934,-77.02017537
1469,PM1427108,0327_0841,Potomac Center South,2016,In Compliance,550 12TH ST SW,POTOMAC CENTER CF LLC,6.0,WASHINGTON,DC,20024.0,2002,Office,Office,539713.0,443078.0,86,53.4,53.1,167.6,166.7,2712.1,6.1,4840.9,6931222.8,,38.88326689,-77.02751086
1470,PM3500589,1579_0010,4400 Jenifer St,2016,In Compliance,4400 JENIFER ST NW,JENIFER STREET LIMITED PARTNERSHIP,3.0,WASHINGTON,DC,20015.0,1972,Office,Office,136710.0,82525.0,82,69.2,71.2,167.6,168.9,534.1,6.5,1530.2,1098138.4,19653.119759999998,38.95863203,-77.08652334
1472,PM1389067,0254_0839,National Place,2016,In Compliance,1331  NW,NATIONAL PLACE LAND COMPANY LLC,2.0,WASHINGTON,DC,20004.0,1983,Office,Office,1544024.0,594284.4,88,53.5,53.3,168.1,167.4,3648.1,6.1,10299.0,9323247.2,,38.89715861,-77.03005325
1473,PM1569687,0140_0095,1800 M Street,2016,In Compliance,1800 M ST NW,PRISA ACQUISITION LLC,2.0,WASHINGTON,DC,20036.0,1978,Office,Office,550211.0,615281.0,84,53.5,53.5,168.1,168.1,3778.1,6.1,16414.5,9655692.3,,38.90533768,-77.04223969
1474,PM1597342,0126_0058,1750 K Street NW,2016,In Compliance,1750 K ST NW,MAPS 1750 K LLC,2.0,WASHINGTON,DC,20006.0,1970,Office,Office,214618.0,180086.0,85,53.6,54.3,168.3,170.6,1107.2,6.1,2986.5,2829594.5,,38.90214068,-77.04077861
1477,PM1180513,0287_0038,1200 New York Avenue NW (AAAS),2016,In Compliance,1200 NEW YORK AVE NW,AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2.0,WASHINGTON,DC,20005.0,1995,Office,Office,263000.0,231089.0,84,60.9,61.7,168.8,168.8,1461.0,6.3,2625.2,3396222.5,24865.53615,38.90022132,-77.02844738
1478,PM2511662,0455_0839,0700 Sixth Street NW (USAA),2016,In Compliance,700 6TH ST NW,BERGMANNS INC,2.0,WASHINGTON,DC,20001.0,2009,Office,Office,299216.0,328412.0,68,62.4,62.4,169.1,169.1,2024.8,6.2,4862.9,5697176.2,10435.8851,38.89917195,-77.02017327
1479,PM2308771,0107_0062,1825 K Street,2016,In Compliance,1825 K ST NW,THE MORRIS AND GWENDOLYN CAFRITZ FOUNDATION INC AND AMBASSADOR INC,2.0,WASHINGTON,DC,20006.0,1966,Office,Office,308836.0,254527.0,82,66.0,67.2,169.3,169.7,1642.3,6.5,3494.5,3571359.9,46093.57167,38.9028695,-77.04243628
1480,PM1205203,0184_0071,"1667 K Street, NW",2016,In Compliance,1667 K ST NW Unit: 900,JAMES CAMPBELL COMPANY LLC,2.0,WASHINGTON,DC,20036.0,1983,Office,Office,257466.0,218345.0,80,57.0,56.6,169.4,168.0,1365.8,6.3,4344.8,3352734.0,10155.94072,38.90325523,-77.03818170000001
1481,PM3990208,0214_0850,1100 Vermont Avenue,2016,In Compliance,1100 VERMONT AV NW,7 K LLC,2.0,WASHINGTON,DC,20005.0,1964,Office,Office,96481.0,67935.0,71,68.0,66.7,169.8,167.3,442.3,6.5,923.4,938156.0,14152.387190000001,38.90398163,-77.03338691
1484,PM3989870,0288_0061,Jemal's C&P LLC,2016,In Compliance,700 12TH ST NW,C & P TELEPHONE COMPANY,2.0,WASHINGTON,DC,20005.0,1902,Office,Office,54705.0,54700.0,71,54.3,54.3,170.4,170.4,340.5,6.2,989.7,870135.4,,38.89914824,-77.0284586
1486,PM1413138,0161_0038,Connecticut Building,2016,In Compliance,1150 CONNECTICUT AV NW,NORTHWESTERN DEVELOPMENT COMPANY B,2.0,WASHINGTON,DC,20036.0,1975,Office,Office,246682.0,204011.0,84,67.4,67.9,171.4,171.1,1411.0,6.9,3310.0,2900081.1,4340.446981,38.90532162,-77.04131342
1489,PM1409873,0184_0849,Kita Washington Center,2016,In Compliance,1660 L ST NW,KITA WASHINGTON CENTER LLC,2.0,WASHINGTON,DC,20036.0,1968,Office,Office,207740.0,134672.0,90,70.5,71.5,171.8,171.5,892.3,6.6,2897.7,1845738.8,32027.549769999998,38.90347933,-77.03808004
1490,PM1071476,0139_0816,1250 Conn Ave,2016,In Compliance,1250 CONNECTICUT AV NW,TRIZECHAHN 1250C/2401P LLC,2.0,WASHINGTON,DC,20036.0,1964,Office,Office,232204.0,195087.0,83,66.8,67.3,172.3,171.5,1279.4,6.6,4638.5,2794046.6,35042.85739,38.90709561,-77.04208511
1491,PM1495933,0376_0823,"901 F Street, NW",2016,In Compliance,0901 F ST NW,901 F LLC,2.0,WASHINGTON,DC,20004.0,2001,Office,Office,172152.0,118044.0,75,54.9,54.9,172.3,172.5,742.7,6.3,2114.4,1897992.6,,38.89756764,-77.02431223
1492,PM1257640,0161_0037,Bender Building,2016,In Compliance,1120 CONNECTICUT AV NW,JACK I BENDER & SONS,2.0,WASHINGTON,DC,20036.0,1959,Office,Office,403277.0,369485.0,83,59.6,60.2,172.5,172.9,2411.2,6.5,6310.1,5706668.6,4725.882638,38.90416531,-77.04098393
1493,PM1257643,0160_0035,OFC Building,2016,In Compliance,1730 RHODE ISLAND AV NW,MAIZELS FAMILY LIMITED LIABILITY LIMITED PARTNERSHIP,2.0,WASHINGTON,DC,20036.0,1966,Office,Office,244818.0,182132.3,87,69.0,70.1,172.7,172.7,1205.2,6.6,3935.1,2561153.9,38236.77693,38.90594675,-77.03933797
1494,PM2681003,0320_0815,1100 G Street,2016,In Compliance,1100 G ST NW,"""11TH & G ST INVESTORS",2.0,WASHINGTON,DC,20005.0,1968,Office,Office,144356.0,109959.0,84,69.3,70.4,172.7,171.8,728.5,6.6,3806.4,1541535.2,23600.7963,38.89814841,-77.02730068
1495,PM2558899,0157_0866,Carnegie Endowment for International Peace,2016,In Compliance,1779 MASSACHUSETTS AV NW,CARNEGIE ENDOWMENT FOR INTL PEACE,2.0,WASHINGTON,DC,20036.0,1997,Office,Office,89323.0,89223.0,77,55.1,53.4,173.0,167.7,563.6,6.3,338.9,1440332.1,,38.90930125,-77.04100052
1496,PM1423599,0078_0848,2099 Penn Ave,2016,In Compliance,2099 PENNSYLVANIA AV NW,2099 OWNER LP,2.0,WASHINGTON,DC,20006.0,2000,Office,Office,231809.0,231164.0,78,55.1,55.1,173.2,173.2,1461.9,6.3,3014.2,3736249.2,,38.90164902,-77.04629552
1497,PM1423434,0162_0822,1725 DeSales St NW,2016,In Compliance,1725 DE SALES ST NW,DESALES VENTURE LLC,2.0,WASHINGTON,DC,20036.0,1962,Office,Office,121709.0,81625.0,75,77.8,80.0,173.5,174.5,558.1,6.8,2294.9,1050657.9,27674.51764,38.90498633,-77.03974057
1498,PM3502512,0073_0080,Gelman Building,2016,In Compliance,2120 L ST NW,GELMAN BUILDING LTD PARTNERSHIP,2.0,WASHINGTON,DC,20037.0,1970,Office,Office,235326.0,235326.0,80,55.3,55.3,173.7,173.7,1493.3,6.3,1786.1,3816255.5,,38.90342611,-77.04760691
1500,PM3641737,0088_0058,NAS Bldg,2016,In Compliance,2101 CONSTITUTION AVE NW,NATIONAL ACADEMY OF SCIENCES,2.0,WASHINGTON,DC,20418.0,1924,Office,Office,109303.0,173970.0,68,55.6,54.6,174.7,171.3,1469.4,8.4,3750.7,2836959.7,,38.89296694,-77.04764489
1501,PM1391419,0675_0855,899 North Capitol Street (Union Square),2016,In Compliance,899 NORTH CAPITOL ST NE,UNION SQUARE 825 PROPERTY LP,6.0,WASHINGTON,DC,20002.0,1972,Office,Office,318096.0,314317.0,79,55.9,55.9,175.2,175.2,2011.6,6.4,4436.4,5133157.7,569.6292862,38.90110153,-77.00845004
1503,PM1984865,0117_0075,*L50024 - 1129 20th Street NW,2016,In Compliance,1129 20TH ST NW,REPUBLIC 20TH STREET LLC,2.0,WASHINGTON,DC,20036.0,1969,Office,Office,139224.0,182220.0,88,56.1,56.3,175.5,176.1,1169.0,6.4,2683.7,2980621.1,514.487476,38.90453284,-77.04451259
1504,PM3267017,0159_0084,1211 Connecticut,2016,In Compliance,1211 CONNECTICUT AV NW,FP 1211 CONNECTICUT AVENUE LLC,2.0,WASHINGTON,DC,20036.0,1968,Office,Office,183950.0,159083.0,82,71.1,71.2,175.5,173.6,1129.8,7.1,7108.9,2264077.1,10484.2377,38.90634525,-77.04092128
1505,PM3197385,0221_0037,740 15th Street NW,2016,In Compliance,750 15TH ST NW,NCRC 740 LLC,2.0,WASHINGTON,DC,20005.0,1907,Office,Office,207654.0,207654.0,70,55.9,55.9,175.6,175.6,1331.9,6.4,8990.3,3403962.4,,38.90002663,-77.03392205
1506,PM3281658,0186_0041,US Chamber of Commerce,2016,In Compliance,1615 H ST NW,CHAMBER OF COMMERCE OF THE USA,2.0,WASHINGTON,DC,20062.0,1924,Office,Office,200891.0,185000.0,84,55.9,55.9,175.7,175.7,1186.8,6.4,4006.9,3033178.7,,38.90058315,-77.03752721
1509,PM1409004,0626_0078,20 Massachusetts Avenue,2016,In Compliance,20 MASSACHUSETTS AVE NW,GOVERNMENT PROPERTIES INCOME TRUST LLC,6.0,WASHINGTON,DC,20529.0,1974,Office,Office,437693.0,343324.0,87,60.2,60.4,176.1,175.3,2239.8,6.5,6513.2,5435444.4,21279.5986,38.89777321,-77.01066806
1510,PM1435721,0250_0047,1301 New York Ave,2016,In Compliance,1301 NEW YORK AVE NW,1301 NEW YORK OWNER LLC,2.0,WASHINGTON,DC,20530.0,1982,Office,Office,257822.0,207599.0,89,56.2,55.3,176.4,173.5,1337.3,6.4,5660.2,3417596.1,,38.90058064,-77.029996
1512,PM3472542,0574_0024,122 C Street,2016,In Compliance,122 C ST NW,ZG 122 C STREET LLC,6.0,WASHINGTON,DC,20001.0,1968,Office,Office,128076.0,117932.0,82,70.8,72.4,176.9,176.7,800.0,6.8,1577.6,1696474.9,25632.84949,38.89334005,-77.01302389
1513,PM1257635,0316_0032,1100L,2016,In Compliance,1100 L ST NW,12TH & L STREET LTD PARTNERSHIP,2.0,WASHINGTON,DC,20005.0,1969,Office,Office,474396.0,345116.0,83,64.6,65.7,177.0,178.2,2310.1,6.7,4780.1,5287511.0,35792.03982,38.90355769,-77.02754935
1515,PM2411223,0196_0834,1501 M Street,2016,In Compliance,1501 M ST NW,I&G DC REIT INC,2.0,WASHINGTON,DC,20005.0,1991,Office,Office,269837.0,195421.0,80,56.5,56.5,177.3,177.3,1265.4,6.5,4023.5,3233967.6,,38.90601233,-77.03483074
1516,PM1525528,0222_0027,50011 - 1425 New York Ave NW,2016,In Compliance,1415 NEW YORK AV NW,RPT 1425 NEW YORK AVE LLC,2.0,WASHINGTON,DC,20005.0,1991,Office,Office,158124.0,284845.0,89,56.5,56.5,177.5,177.5,1846.7,6.5,4400.1,4719471.2,,38.89972991,-77.03257855
1517,PM4380886,0136_0035,11 Dupont Circle,2016,In Compliance,0011 DUPONT CIR NW,FP 11 DUPONT CIRCLE LLC,2.0,WASHINGTON,DC,20036.0,1974,Office,Office,171077.0,160898.0,77,56.5,56.5,177.5,177.4,1042.8,6.5,9847.2,2665168.4,,38.91038112,-77.04241573
1518,PM3019499,0140_0094,1150 18th Street,2016,In Compliance,1150 18TH ST NW,DMARC 2007 CD5 1150 OFFICE LLC,2.0,WASHINGTON,DC,20036.0,1990,Office,Office,170247.0,195498.0,77,56.5,56.2,177.6,176.6,1267.8,6.5,2463.8,3240103.0,,38.90450379,-77.04218812
1519,PM4352773,0111_0082,The Caravel,2016,In Compliance,1601 CONNECTICUT AVE NW,MICHAEL KAIN,2.0,WASHINGTON,DC,20009.0,1971,Office,Office,52562.0,45065.0,68,65.5,65.1,177.7,173.1,292.6,6.5,1224.9,688252.6,6040.060538000001,38.91138385,-77.04409107
1520,PM1412761,0218_0080,McPherson Building,2016,In Compliance,0901 15TH ST NW,MULLEN MANAGEMENT COMPANY INC,2.0,WASHINGTON,DC,20005.0,1988,Office,Office,355204.0,308250.0,85,56.6,56.2,177.8,176.3,2001.3,6.5,5166.8,5114550.1,,38.90163044,-77.032794
1521,PM1404504,0712_0111,One NoMa Station,2016,In Compliance,131 M ST NE,UNION STATION ASSOCIATES LTD,6.0,WASHINGTON,DC,20002.0,1938,Office,Office,442412.0,436178.0,85,57.8,56.7,179.0,175.1,2859.7,6.6,4358.9,7236417.2,5312.266424,38.90517082,-77.00480135
1524,PM4014135,0127_0048,Intrepid Eye Street,2016,In Compliance,1720 I ST NW,ROBERT ARTHUR,2.0,WASHINGTON,DC,20006.0,1967,Office,Office,72545.0,72545.0,69,66.8,67.6,179.3,178.0,490.8,6.8,1598.9,1110264.8,10611.46549,38.90103339,-77.04047444
1526,PM3488404,0086_0844,1900 K Street Benchmark,2016,In Compliance,1900 K ST NW,TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,2.0,WASHINGTON,DC,20006.0,1995,Office,Office,440000.0,384808.7,83,57.2,56.5,179.7,177.5,2525.1,6.6,4451.2,6453285.9,,38.90207874,-77.04391273
1528,PM1348840,0677_0146,750 First Street,2016,In Compliance,750 1ST ST NE,APA 750 LLC,6.0,WASHINGTON,DC,20002.0,1991,Office,Office,394400.0,394188.0,88,57.3,57.3,180.1,180.1,2592.2,6.6,4557.5,6624724.2,,38.8998489,-77.00748706
1532,PM1583318,0299_0832,Portals I - 1250/1280 Maryland Ave,2016,In Compliance,1250 MARYLAND AV SW,PARCEL 49B LIMITED PARTNERSHIP,6.0,WASHINGTON,DC,20024.0,1991,Office,Office,800000.0,583876.0,86,57.5,57.5,180.7,180.5,10068.6,17.2,7483.6,9845434.5,,38.88409053,-77.02899095
1534,PM1159361,0107_0075,MAPS 1801 K Street LLC,2016,In Compliance,1801 K ST NW,BLENHEIM DC I LLC,2.0,WASHINGTON,DC,20036.0,1970,Office,Office,818524.0,620265.0,85,57.6,57.6,180.8,180.8,4095.0,6.6,10054.4,10465569.4,,38.90359497,-77.04201003
1535,PM3229646,0183_0879,1615 L Street,2016,In Compliance,1615 L ST NW,CP 1615 L STREET LLC,2.0,WASHINGTON,DC,20036.0,1984,Office,Office,659196.0,414675.0,79,57.6,57.7,180.9,181.2,2739.2,6.6,5922.7,7000525.9,,38.90427678,-77.03745341
1538,PM1070151,0285_0049,1200 K Street,2016,In Compliance,1200 K ST NW,1200 K ST I CO LLC,2.0,WASHINGTON,DC,20005.0,1991,Office,Office,567863.0,429455.0,94,58.2,58.2,181.1,181.1,2846.1,6.6,4979.4,7228522.6,3324.9311079999998,38.90213258,-77.02864978
1540,PM1341848,0489_0021,Liberty Square,2016,In Compliance,0450 5TH ST NW,JUDICIARY PLAZA LLC,2.0,WASHINGTON,DC,20001.0,1982,Office,Office,437277.0,543682.0,83,57.8,57.8,181.4,181.4,3602.9,6.6,7447.2,9207722.6,,38.89561559,-77.01930057
1544,PM1268752,0140_0092,1850 M St.,2016,In Compliance,1850 M ST NW,MANUFACTURERS LIFE INSURANCE,2.0,WASHINGTON,DC,20036.0,1985,Office,Office,302448.0,254980.0,85,58.0,58.1,182.2,182.4,1696.3,6.7,5006.2,4335282.0,,38.90536949,-77.04295035
1545,PM25506,0699_0028,80 M Street SE,2016,In Compliance,80 M ST SE,WELLS REIT II 80 M STREET LLC,6.0,WASHINGTON,DC,20003.0,2001,Office,Office,384666.0,319955.0,87,63.9,65.0,182.4,183.5,2172.7,6.8,3969.8,5173672.6,27916.285910000002,38.876731400000004,-77.00629566
1548,PM1486998,0284_0042,1220 L Street,2016,In Compliance,1220 L ST NW,13TH AND L ASSOCIATES,2.0,WASHINGTON,DC,20005.0,1982,Office,Office,369164.0,321980.0,80,58.3,58.3,183.0,183.0,2152.0,6.7,4090.0,5499686.3,,38.90338921,-77.02914636
1549,PM1347061,0387_0868,950 L'Enfant Plaza,2016,In Compliance,0450 10TH ST SW,L'ENFANT COLONY LLC,6.0,WASHINGTON,DC,20024.0,1967,Office,Office,276288.0,314276.0,82,70.4,71.4,183.2,183.0,2187.5,7.0,4783.8,4817014.5,56976.89562999999,38.883385499999996,-77.02428922
1550,PM3262071,0859_0837,609 H STREET,2016,In Compliance,601 H ST NE,609 H ST NE BLDG PJV LLC,6.0,WASHINGTON,DC,20002.0,1987,Office,Office,110281.0,77158.0,79,58.4,58.4,183.5,183.5,517.1,6.7,3929.1,1321632.0,,38.90002407,-76.99782309999999
1551,PM1242152,0322_0021,Evening Star Building,2016,In Compliance,1101 PENNSYLVANIA AVE NW,TC 1101 PENNSYLVANIA AVENUE OWNER LLC,2.0,WASHINGTON,DC,20004.0,1898,Office,Office,336271.0,244160.0,78,58.5,58.5,183.6,183.6,1637.0,6.7,6320.1,4183702.1,,38.89516346,-77.0274071
