Primary_Key,DC_Real_Property_ID,Property_Name,Reporting_Year,Report_Status,Address_of_Record,Owner_of_Record,Ward,City,State,Postal_Code,Year_Built,Primary_Property_Type_Self_Selected,Primary_Property_Type_EPA_Calculated,Tax_Record_Floor_Area,Recorded_Building_Gross_Floor_Area,Energy_Star_Score,Site_EUI_KBTU_Ft,Weather_Normalized_Site_EUI_KBTU_Ft,Source_EUI_KBTU_Ft,Weather_Normalized_Source_EUI_KBTU_Ft,Total_GHG_Emissions_Metric_Tons_CO2e,Total_GHG_Emissions_Intensity_Kg_CO2e_Ft,Water_Use_All_Water_Sources_Kgal,Electricity_Use_Grid_Kwh,Natural_Gas_Use_Therms,Latitude,Longitude
PM1415246,0081_0846,Dakota,2017,In Compliance,2100 F ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1989,Residence Hall-Dormitory,Residence Hall-Dormitory,69402,70389,67,63.7,65.5,142.7,143.9,387.1,5.5,719.7,745537.4,18008.01242,38.89709827,-77.04695599
PM3468298,0444_0810,asbury dwellings,2017,In Compliance,1616 MARION ST NW,ASBURY DWELLINGS INC,6,WASHINGTON,DC,20001,1950,Multifamily Housing,Multifamily Housing,128015,119316,36,86.2,91.4,142.7,148,718.6,6,5545.7,873476.9,73050.00202,38.91209084,-77.02158015
PM4369395,1191_0071,The Foundry Building,2017,In Compliance,1055 THOMAS JEFFERSON ST NW,JBG FOUNDRY OFFICE 200,2,WASHINGTON,DC,20007,1975,Office,Office,331720,244850,87,45.6,46.4,143.1,145.6,1238.1,5.1,4059,3270302.6,60.00000197,38.90393028,-77.05929023
PM5093099,2046_0004,Park Van Ness,2017,In Compliance,4433-4469 CONNECTICUT AV,SAUL SUBSIDIARY II LIMITED PARTNERSHIP,3,WASHINGTON,DC,20008,2016,Multifamily Housing,Multifamily Housing,290002,279617,41,65.9,68.1,143.1,145,1550.4,5.5,6403.7,2895341.3,85583.28051,38.94737521,-77.06444459
PM3987925,0221_0818,Willcap Holdings LLC,2017,In Compliance,0734 15TH ST NW,WILLCAP HOLDINGS LLC,2,WASHINGTON,DC,20005,1936,Office,Office,87574,78495,85,56,58.6,143.2,143.8,416.9,5.3,639.5,928999.9,12296.26728,38.8996313,-77.03406515
PM4855963,0629_0041,Hyatt Regency Washington on Capitol Hill,2017,In Compliance,400 NEW JERSEY AVE NW,NSHE TEMPLE LLC,6,WASHINGTON,DC,20001,1975,Hotel,Hotel,605014,712053,94,67.1,68.6,143.2,143.5,3970.9,5.6,21363.5,7270586,229510.1044,38.89537545,-77.01170563
PM3630592,0247_0094,National Association for the Education of Young Children,2017,In Compliance,1313 L ST NW,NATIONAL ASSOCIATION FOR THE EDUCATION OF YOUNG CHILDREN,2,WASHINGTON,DC,20005,1984,Office,Office,118722,125000,87,45.7,45.7,143.4,143.4,633.2,5.1,925.6,1672882.2,NA,38.9040862,-77.03051133
PM3991639,0104_0837,The York,2017,In Compliance,0532 20TH ST NW,COLUMBIA REALTY VENTURE,2,WASHINGTON,DC,20006,1941,Multifamily Housing,Multifamily Housing,66528,66528,65,84.1,88.5,143.6,144.2,398.9,6,5928.1,515029.3,38405.19368,38.89685363,-77.04530309
PM1029531,0457_0039,600 E Street,2017,In Compliance,600 E ST NW,6TH & E ASSOCIATES LLC,2,WASHINGTON,DC,20004,1976,Office,Office,438018,356387,91,45.8,45.8,143.7,143.7,1809.3,5.1,3890.4,4780345.6,NA,38.89578709,-77.02049174
PM3672756,0211_0037,The Seville Apartments,2017,Data Under Review by DOEE,1401 N ST NW,ELAINE GELMAN MILLER TRUSTEE,2,WASHINGTON,DC,20005,1965,Multifamily Housing,Multifamily Housing,115656,115656,38,86.6,85.4,143.7,140.1,844.2,7.3,5082.8,893062.2,5014.45371,38.90747114,-77.03233614
PM3500380,2581_0471,The Calverton,2017,In Compliance,1673 COLUMBIA RD NW,ALONZO O BLISS PROPERTIES,1,WASHINGTON,DC,20009,1920,Multifamily Housing,Multifamily Housing,104040,104040,30,78.1,84.1,143.8,147.2,609.5,5.9,329277.6,901180.4,50536.31023,38.92542901,-77.03901653
PM3506587,2132_0026,The Calvert House,2017,Incomplete Report,2401 CALVERT ST NW,CALVERT HOUSE ASSOCIATES LLC,3,WASHINGTON,DC,20008,1964,Multifamily Housing,Multifamily Housing,240528,240528,31,82.5,90.4,143.8,150.4,1434.6,6,6783.9,1930943.2,132486.1163,38.92396194,-77.05311692
PM1030284,0050_0086,1255 23rd Street,2017,In Compliance,1225 23RD ST NW,CAPITOL 50 ASSOCIATES,2,WASHINGTON,DC,20037,1982,Office,Office,83314,358737,92,45.9,45.9,144,144,1825,5.1,4077.3,4821829.3,NA,38.90640247,-77.04978884
PM4066546,2588_0222,Harvard Towers,2017,Data Under Review by DOEE,1845 HARVARD ST NW,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,1,WASHINGTON,DC,20009,1964,Multifamily Housing,Multifamily Housing,NA,157320,34,88.6,95,144,149.1,962,6.1,12357.1,1124999.9,100958.9996,38.92840072,-77.04323778
PM1030402,0042_0054,Amsterdam Hall,2017,In Compliance,2350 H ST NW,GEORGE WASHINGTON UNIVERSITY,2,WASHINGTON,DC,20052,1997,Residence Hall-Dormitory,Residence Hall-Dormitory,165390,129562,67,66.3,70,144.3,148.2,724.2,5.6,6872.6,1357187.8,39624.20522,38.8993224,-77.05091838
PM4408494,0159_0861,Cathedral of St. Matthew the Apostle,2017,In Compliance,1721 - 1725 RHODE ISLAND AVE NW,ROMAN CATHOLIC ARCHBISHOP  OF WASHINGTON,2,WASHINGTON,DC,20036,1961,Worship Facility,Worship Facility,52328,68146,14,62,66,144.8,147.4,374.7,5.5,466.1,761042.3,16306.45994,38.90639988,-77.03960484
PM1061926,0162_0092,02217 - 1100 17th Street NW,2017,In Compliance,1100 17TH ST NW,LIBERTY 1100 17TH STREET LP,2,WASHINGTON,DC,20036,1962,Office,Office,157120,151599,88,57.1,59.1,144.9,145.2,839.5,5.5,2670.1,1805882.5,25002.26598,38.90417969,-77.03875448
PM1583321,0625_0061,Republic Square - 25 Mass Ave,2017,In Compliance,25 MASSACHUSETTS AVE NW,T-C REPUBLIC SQUARE OWNER LLC,6,WASHINGTON,DC,20001,2006,Office,Office,551388,402012,91,47.2,47.2,145.4,145.4,2074,5.2,4869.4,5402581.5,5494.13019,38.89846544,-77.01041674
PM3997842,0177_0804,Croydon,2017,Incomplete Report,1815 17TH ST NW,USN LLC,2,WASHINGTON,DC,20009,1941,Multifamily Housing,Multifamily Housing,63633,63633,72,84.1,88.4,145.4,147.3,384.7,6,3950,509901.5,36087.0932,38.91468064,-77.03816696
PM1034322,0197_0853,American Chemical Society - Headquarters,2017,In Compliance,1155 16TH ST NW,AMERICAN CHEMICAL SOCIETY,2,WASHINGTON,DC,20036,1959,Office,Office,144462,115470,89,67,71.2,146.3,150.8,653.5,5.7,1184.1,1230744.9,35336.12085,38.90536939,-77.03605573
PM3644264,1676_0015,Episcopal Church Home Friendship INC,2017,Incomplete Report,4201 BUTTERWORTH PL NW,EPISCOPAL CHURCH HOME FRIENDSHIP INC,3,WASHINGTON,DC,20016,1969,Multifamily Housing,Multifamily Housing,113755,113755,52,71.5,76.8,146.3,152.5,656.3,5.8,6188873.3,1136901.4,42542.32995,38.94908067,-77.08237087
PM2279187,0217_0047,1025 Vermont Avenue,2017,In Compliance,1025 VERMONT AVE NW,1025 VERMONT AVENUE LLC,2,WASHINGTON,DC,20005,1964,Office,Office,171359,109878,87,52.8,55,146.4,148.7,584.7,5.3,1805.2,1401045.5,10246.42378,38.9033146,-77.03293757
PM1180478,0289_0830,0601 Thirteenth Street NW (Homer),2017,In Compliance,0601 13TH ST NW,S KANN SONS COMPANY,2,WASHINGTON,DC,20005,1990,Office,Office,678600,604301,85,46.6,49.3,146.5,154.7,3126.8,5.2,6363.9,8261068.2,NA,38.89814115,-77.02926284
PM6268144,0494_0859,Carbon,2017,In Compliance,0501 SCHOOL ST SW,501 SCHOOL ASSOCIATES LIMITED PARTNERSHIP,6,WASHINGTON,DC,20024,1988,Office,Office,119720,83620,80,46.8,46.8,147.1,147.1,434.5,5.2,643.9,1148059.9,NA,38.88414831,-77.0191279
PM1268800,0196_0035,National Education Association,2017,In Compliance,1201 16TH ST NW,NATIONAL EDUCATION ASSOCIATION OF THE UNITED STATE,2,WASHINGTON,DC,20036,1991,Office,Office,311715,394087,92,59.9,62.7,147.6,149.6,2237.6,5.7,3976.1,4680973.1,76397.01715,38.90609858,-77.0357194
PM4178748,4121_0080,Montana Terrace,2017,Data Under Review by DOEE,1625 MONTANA AVENUE NE,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,5,WASHINGTON,DC,20018,1968,Multifamily Housing,Multifamily Housing,NA,80000,41,75.6,79.7,147.6,151,472.1,5.9,4908,765274.9,34357.99564,38.921,-76.981044
PM3625086,2528_0302,2000 Connecticut,2017,Incomplete Report,2000 CONNECTICUT AVE NW,KS 2000 CONNECTICUT LLC,2,WASHINGTON,DC,20008,1936,Multifamily Housing,Multifamily Housing,128664,120000,14,57.9,58.4,147.7,148.2,657.6,5.5,4084.5,1463141.5,19543.11084,38.91704087,-77.04716745
PM4007394,0472_0128,Commons at Town Square,2017,Incomplete Report,0901 - 0947 6TH ST SW,TODD S DECKELBAUM TRUSTEE,6,WASHINGTON,DC,20024,1970,Multifamily Housing,Multifamily Housing,1037766,100326,18,83.2,89.3,148,151.2,611.5,6.1,4820.2,853432.7,54313.1809,38.87901539,-77.02028987
PM4097111,2864_0334,Garfield Terrace,2017,Data Under Review by DOEE,2371 - 2381 11TH ST NW,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,1,WASHINGTON,DC,20001,1965,Multifamily Housing,Multifamily Housing,NA,230989,34,73.6,77.3,148,151.8,1354.9,5.9,16858.8,2288287.7,92032.00194,38.92223267,-77.02570734
PM5826641,0183_0105,William Calomiris Building,2017,Data Under Review by DOEE,1112 16TH ST NW,GWC DISTRICT RESIDENTIAL LLC,2,WASHINGTON,DC,20036,1940,Office,Office,58049,62100,80,67.5,67.5,148.6,148.6,356.2,5.7,1806.1,677303.2,18789.15422,38.9042627,-77.03696031
PM5924418,0859_0839,645 H Street,2017,In Compliance,645 H ST NE,U S REIF 645 H STREET WASHINGTON DC LLC,6,WASHINGTON,DC,20002,1987,Office,Office,77521,88886,94,49.1,49.3,148.7,147.3,470.8,5.3,1146.8,1211232.4,2327.118734,38.89998223,-76.99645586
PM4014135,0127_0048,Intrepid Eye Street,2017,In Compliance,1720 I ST NW,ROBERT ARTHUR,2,WASHINGTON,DC,20006,1967,Office,Office,72545,72545,81,54.8,56.2,148.8,148.2,394.2,5.4,1136.6,928169.6,8077.250012,38.90103339,-77.04047444
PM4843909,2572_0816,Dorchester West,2017,Incomplete Report,2425 17TH ST NW,KALORAMA WEST LLC,1,WASHINGTON,DC,20009,2014,Multifamily Housing,Multifamily Housing,94000,81167,51,49.1,50.1,148.8,149.8,430,5.3,2019.1,1106584.7,2093.835708,38.92241485,-77.03866536
PM4861489,1030_0084,Kingsman Academy Public Charter School,2017,In Compliance,1375 E ST NE,KINGSMAN ACADEMY PUBLIC CHARTER SCHOOL,6,WASHINGTON,DC,20002,1900,K-12 School,K-12 School,55219,61113,69,66.6,70.7,148.8,151.6,349.6,5.7,196.1,676464.5,17606.59641,38.89585771,-76.9862157
PM3513277,2662_0204,Faircliff Plaza West,2017,In Compliance,1424 - 1432 CLIFTON ST NW,FPW LP,1,WASHINGTON,DC,20009,1979,Multifamily Housing,Multifamily Housing,122869,86232,40,47.5,47.5,149,149,453.9,5.3,9443.6,1199278.8,NA,38.92244513,-77.03336578
PM1378102,0405_0026,799 9th street,2017,In Compliance,0799 9TH ST NW,BOP 799 9TH LLC,2,WASHINGTON,DC,20001,2001,Office,Office,215686,210645,86,47.5,47.5,149.1,149.1,1109.6,5.3,3574.4,2931524.2,NA,38.89964905,-77.0232935
PM1427108,0327_0841,Potomac Center South,2017,In Compliance,550 12TH ST SW,POTOMAC CENTER CF LLC,6,WASHINGTON,DC,20024,2002,Office,Office,539713,443078,90,47.5,47.5,149.1,149.1,2334.3,5.3,4040.4,6167171.3,NA,38.88326689,-77.02751086
PM1257639,0164_0035,Blake Building,2017,In Compliance,1025 CONNECTICUT AV NW,BLAKE DEVELOPMENT COMPANY,2,WASHINGTON,DC,20036,1967,Office,Office,466690,353236,90,55.7,58.4,149.2,152.7,1931.9,5.5,5314.1,4491512.4,43650.18281,38.90359373,-77.03933901
PM3048393,0220_0065,1444 I Street NW,2017,In Compliance,1444 I ST NW,LIVE OAK REALTY INC,2,WASHINGTON,DC,20005,1983,Office,Office,81608,74756,72,53.4,55.7,149.2,152.9,404.6,5.4,1589.2,976568,6592.618424,38.90102752,-77.03274929
PM4178754,1041_0128,Kentucky Courts,2017,Data Under Review by DOEE,0312 13TH ST SE,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,6,WASHINGTON,DC,20003,1965,Multifamily Housing,Multifamily Housing,NA,87350,17,83.3,91.3,149.2,157.2,535.5,6.1,5094.2,756497.9,46912.00455,38.8848308,-76.9875509
PM4317950,0026_0011,280111 - 2401 Penn Ave.,2017,In Compliance,2401 PENNSYLVANIA AVE NW,2401 PENN AVENUE LLC,2,WASHINGTON,DC,20037,1991,Mixed Use Property,Mixed Use Property,221853,145060,79,50.6,50.6,149.2,149.2,775.2,5.3,11516.7,1954375.2,6687.57522,38.90346905,-77.0519089
PM1071004,0218_0079,1400 K Street,2017,In Compliance,1400 K ST NW,TRIZECHAHN LLC - 1400 K STREET NW,2,WASHINGTON,DC,20005,1982,Office,Office,292090,212651,93,48.6,48.7,149.4,149.4,1127.6,5.3,2467.2,2931495.8,3404.983977,38.90218344,-77.03228197
PM1421555,0157_0850,Bernstein Offit Building,2017,In Compliance,1717 MASSACHUSETTS AV NW,THE JOHN HOPKINS UNIVERSITY,2,WASHINGTON,DC,20036,1963,Office,Office,147542,122460,88,67.6,71.8,149.4,151.8,705.5,5.8,1440.2,1346283.7,36893.03957,38.90872163,-77.03950985
PM4351597,0540_0847,Capitol Park Tower,2017,In Compliance,0301  G ST SW,CAPITOL PARK TOWER LLC,6,WASHINGTON,DC,20024,1962,Multifamily Housing,Multifamily Housing,305520,305520,25,81.8,89.3,149.4,155.4,1864.8,6.1,19175.1,2721860.1,157129.584,38.88168173,-77.01680642
PM3353559,1299_1026,"JBG/2121 Wisconsin, L.L.C.",2017,In Compliance,2121 WISCONSIN AVE NW,JBG 2121 WISCONSIN LLC,3,WASHINGTON,DC,20007,1961,Office,Office,124930,122884,80,53,54.2,149.7,150.4,665.8,5.4,1107,1620971.7,9843.999808,38.91854598,-77.06970016
PM3353558,1299_1027,"JBG/2115 Wisconsin, L.L.C.",2017,In Compliance,2115 WISCONSIN AVE NW,JBG 2115 WISCONSIN LLC,3,WASHINGTON,DC,20007,1987,Office,Office,397633,208052,89,47.7,48.1,149.8,151.1,1100.9,5.3,1972,2908703.6,NA,38.91873543,-77.06908193
PM3957505,1025_0811,Maritime Plaza-1,2017,Data Under Review by DOEE,1201 M ST SE,WASHINGTON GAS LIGHT CO,6,WASHINGTON,DC,20003,2000,Office,Office,207338,207338,92,55.3,56.4,149.9,149.1,1135.4,5.5,792.4,2669999.7,23506.95161,38.87613896,-76.98934998
PM5835394,1601_0010,Metropolitan Memorial United Methodist Church,2017,Data Under Review by DOEE,3401 NEBRASKA AVE NW,METROPOLITAN MEMORIAL METHODIST EPISC CHURCH TRUSTEES,3,WASHINGTON,DC,20016,1921,Worship Facility,Worship Facility,57474,55464,15,71.4,75.9,149.9,154,325.3,5.9,1173.3,582425.7,19743.3436,38.93496703,-77.08780165
PM4178734,0650_0078,James Creek,2017,Data Under Review by DOEE,1233 - 1265 HALF ST SW,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,6,WASHINGTON,DC,20024,1942,Multifamily Housing,Multifamily Housing,NA,223284,30,88.6,96.2,150.3,157.8,1404.3,6.3,15047.1,1792937.9,136617.0028,38.87519639,-77.01086245
PM3306993,1191_0072,1025 Thomas Jefferson Street,2017,In Compliance,1025 THOMAS JEFFERSON ST NW,1025 THOMAS JEFFERSON INC,2,WASHINGTON,DC,20007,1984,Office,Office,451939,365917,92,47.9,47.9,150.5,150.5,1945.8,5.3,4360.6,5140818.2,NA,38.90333924,-77.05929918
PM2729439,0127_0055,800 17TH ST,2017,In Compliance,800 17TH ST NW,T C 800 17TH STREET NW OWNER LLC,2,WASHINGTON,DC,20006,2010,Office,Office,431570,390731,84,48,48,150.6,150.6,2078.4,5.3,5828.8,5491232.3,NA,38.90077894,-77.03974474
PM2924130,0008_0806,"Watergate East, Inc.",2017,In Compliance,2500 VIRGINIA AV NW,WATERGATE EAST INC,2,WASHINGTON,DC,20037,1965,Multifamily Housing,Multifamily Housing,449825,389352,19,92.7,93.1,150.6,151.6,2634.3,6.8,7312.1,2674621,4252.403468,38.89938773,-77.05423512
PM4371872,1829_0055,Devonshire Court South,2017,In Compliance,4105 WISCONSIN AVE NW,4105 WISCONSIN LLC,3,WASHINGTON,DC,20016,1928,Multifamily Housing,Multifamily Housing,55896,55896,31,67.1,68.3,150.6,148.3,323.1,5.8,2209.4,628111.1,16074.76661,38.94259214,-77.07619739
PM3512980,2873_1101,Howard Tower Plaza,2017,In Compliance,2251 SHERMAN AVE NW,HOWARD UNIVERSITY,1,WASHINGTON,DC,20001,1988,Residence Hall-Dormitory,Residence Hall-Dormitory,520000,573687,62,67.8,71.8,150.7,155.4,3328.5,5.8,23430.2,6392818.5,171115.6155,38.92041853,-77.02379153
PM4020730,PAR01690114,Building,2017,Data Under Review by DOEE,3400 BENNING RD NE,POTOMAC ELECTRIC POWER COMPANY,7,WASHINGTON,DC,20019,1987,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,419689,53503,21,48,48,150.8,150.8,285.1,5.3,20.2,753286.9,NA,38.89698594,-76.95213935
PM3551424,0072_0075,02273 - 2100 M Street NW,2017,In Compliance,2100 M ST NW,LIBERTY 2100 M STREET LP,2,WASHINGTON,DC,20037,1969,Office,Office,376487,286773,78,48.9,50.4,150.9,155.7,1534.3,5.4,4975.8,4004412.5,3515.065789,38.90487202,-77.0470064
PM1184444,0494_0032,400 Virginia Avenue,2017,In Compliance,0400 VIRGINIA AV SW,400 VIRGINIA AVENUE LLC,6,WASHINGTON,DC,20024,1984,Office,Office,304209,252289,88,48.1,48.9,151,153.5,1346.3,5.3,3091.5,3556858.1,NA,38.88424946,-77.01816764
PM1707265,0127_0053,01270053_1776 I St NW,2017,In Compliance,1776 I ST NW,1776 EYE SPE LLC,2,WASHINGTON,DC,20006,1988,Office,Office,293324,248690,89,48.1,48.1,151.1,151.1,1327.9,5.3,4967.6,3508475.9,NA,38.90109821,-77.04136516
PM1268754,0318_0032,1100 New York Avenue,2017,Incomplete Report,1110 NEW YORK AV NW,AZ JH REIT DC LP,2,WASHINGTON,DC,20005,1991,Office,Office,563484,580706,92,48.4,48.8,151.4,152.7,3108.5,5.4,10726.2,8190161.9,1614.620888,38.90067675,-77.027446
PM1205203,0184_0071,"1667 K Street, NW",2017,In Compliance,1667 K ST NW Unit: 900,JAMES CAMPBELL COMPANY LLC,2,WASHINGTON,DC,20036,1983,Office,Office,257466,214759,85,48.3,49.2,151.8,154.4,1151.8,5.4,2601.6,3043123.6,NA,38.90325523,-77.0381817
PM3858497,0117_0023,1146 19th Street,2017,In Compliance,1146 19TH ST NW,1146 19TH LLC,2,WASHINGTON,DC,20036,1986,Office,Office,61506,57523,82,48.4,48.2,151.8,151.4,308.6,5.4,1559.9,815268.9,NA,38.90512827,-77.04384358
PM1544020,0406_0026,505 9th Street,2017,Data Under Review by DOEE,505 9TH ST NW,500 8TH STREET PR LLC,2,WASHINGTON,DC,20004,2007,Office,Office,302601,347262,71,54.3,54.9,152,153.6,1910.5,5.5,9073.1,5524255.9,5.7199506,38.89653301,-77.02325138
PM1257644,0142_0825,Northwestern Building,2017,In Compliance,1800 G ST NW,NORTHWESTERN DEVELOPMENT CO,2,WASHINGTON,DC,20006,1965,Office,Office,813848,737365,88,57.2,59.8,152.2,156.2,4119.7,5.6,10709.1,9518195.6,97346.28442,38.89815735,-77.04194505
PM4008037,0163_0056,1717 K St NW,2017,In Compliance,1000 CONNECTICUT AV,CONNECTICUT & K ASSOCIATES LLC,2,WASHINGTON,DC,20036,2012,Office,Office,430428,406131,90,48.5,48.5,152.3,152.3,2185.5,5.4,3855.8,5774040,NA,38.9030173,-77.03986805
PM1750762,0140_0913,114519th Street NW,2017,In Compliance,1145 19TH ST NW,SNH MEDICAL OFFICE PROPERTIES TRUST,2,WASHINGTON,DC,20036,1955,Medical Office,Medical Office,173812,152027,78,56.4,57.4,152.4,151.9,847.5,5.6,6663.6,1986346.6,18020.19924,38.90506222,-77.04294197
PM6235419,0423_0018,1330 7th Street: 1330 7th Street,2017,In Compliance,1330 7TH ST NW,1330 SEVENTH STREET LIMIITED PARTNERSHIP,6,WASHINGTON,DC,20001,1974,Multifamily Housing,Multifamily Housing,145200,145200,30,75.2,77,152.6,151.4,875.6,6,13107.4,1499312.4,58015.85232,38.90834315,-77.02219889
PM1606450,PAR01330131,USCCB,2017,Data Under Review by DOEE,3211 4TH ST NE,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,5,WASHINGTON,DC,20017,1989,Office,Office,169000,194131,93,62.3,64.8,152.8,154.4,1111.3,5.7,4576.8,2378786.3,39707.106,38.92980185,-76.99947523
PM2962687,0162_0101,1133 Connecticut Ave,2017,In Compliance,1133 CONNECTICUT AVE NW,CONNECTICUT / DESALES LLC,2,WASHINGTON,DC,20036,1988,Office,Office,236563,190957.2,82,48.7,48.7,152.8,152.8,1030.9,5.4,2166.5,2723579.8,NA,38.90498472,-77.04024599
PM3992793,2527_0837,2100 Connecticut Ave,2017,In Compliance,2100 CONNECTICUT AV NW,COLUMBIA REALTY VENTURE LLC,2,WASHINGTON,DC,20008,1941,Multifamily Housing,Multifamily Housing,76594,65964,41,107.3,117.6,152.8,162.2,449.2,6.8,3640.9,370834,58153.68166,38.91795517,-77.04772627
PM1852852,0625_0060,One Mass Ave,2017,In Compliance,1 MASSACHUSETTS AVE NW,NATIONAL GUARD ASSOCIATION OF THE UNITED STATES INC,6,WASHINGTON,DC,20001,1990,Office,Office,335283,195276,90,48.7,48.7,152.9,152.9,1055,5.4,2969.4,2787252.5,NA,38.89812581,-77.00956144
PM5813065,0516_0061,450 K,2017,In Compliance,450 K ST NW,450 K CAP LLC,6,WASHINGTON,DC,20001,2014,Multifamily Housing,Multifamily Housing,223804,223804,35,60.9,61.9,153,151.4,1275.1,5.7,5655,2793081.3,41022.45083,38.90228226,-77.01796863
PM1424750,0626_0079,601 New Jersey Avenue,2017,Data Under Review by DOEE,601 NEW JERSEY AVE NW,601 NEW JERSEY AVE LLC,6,WASHINGTON,DC,20001,2002,Office,Office,278640,272238.9,77,48.7,48.7,153.1,153.1,1472.2,5.4,3334.1,3889493.6,NA,38.89786015,-77.01153543
PM4023596,0183_0847,American Federation  of State County && Municiple Employees,2017,In Compliance,1625 L ST NW,AFSCME BUILDING CORPORATION,2,WASHINGTON,DC,20036,1955,Office,Office,75033,75033,84,56.9,58.1,153.4,154.1,421.3,5.6,1010,985138.1,9109.947144,38.9040539,-77.03776733
PM1345607,0622_0089,CBRE 800 N CAPITOL,2017,In Compliance,800 NORTH CAPITOL ST NW,WEH CAPTIOL LLC,6,WASHINGTON,DC,20002,1991,Office,Office,417455,336820,88,48.9,48.9,153.6,153.4,2538.8,7.5,10844.3,4830496.4,NA,38.9005122,-77.00973054
PM4582777,0514_0094,Yale West,2017,In Compliance,443 NEW YORK AVE NW,WRIT YALE WEST LLC,6,WASHINGTON,DC,20001,2011,Multifamily Housing,Multifamily Housing,263200,173070,33,48.9,48.9,153.7,153.7,939.7,5.4,4377.2,2482622.6,NA,38.90467992,-77.01800105
PM6276323,1025_0811,1201 M Street,2017,Data Under Review by DOEE,1201 M ST SE,WASHINGTON GAS LIGHT CO,6,WASHINGTON,DC,20003,2000,Office,Office,207338,202273,95,56.9,58.1,153.9,153.2,1138.1,5.6,805.3,2669999.7,24015.10054,38.87613896,-76.98934998
PM3541143,0211_0852,Miramar Apartments,2017,Incomplete Report,1301 15TH ST NW,MORRIS & GWENDOLYN CAFRITZ FOUNDATION,2,WASHINGTON,DC,20005,1930,Multifamily Housing,Multifamily Housing,118512,118512,10,109.4,122.8,154,167.5,816.8,6.9,5725.4,649840.2,107478.0925,38.90761048,-77.03429749
PM1447242,0677_0145,10 G,2017,In Compliance,10 G ST NE,APA TEN G LLC,6,WASHINGTON,DC,20002,1997,Office,Office,274960,280169,95,49.1,49.1,154.1,154.1,1525.1,5.4,5275.2,4029487.2,NA,38.8990745,-77.0081367
PM4178731,0594_0067,Greenleaf Addition,2017,Data Under Review by DOEE,0201 - 0203 M ST SW,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,6,WASHINGTON,DC,20024,1960,Multifamily Housing,Multifamily Housing,NA,23876,46,120.4,133.6,154.2,167.6,171.1,7.2,4729.2,93000,25585.00609,38.87693573,-77.01419892
PM4836141,3353_0051,Takoma Central,2017,In Compliance,255 CARROLL ST NW,FCP TAKOMA CENTRAL LLC,4,WASHINGTON,DC,20012,2014,Multifamily Housing,Multifamily Housing,70245,149066,23,53.1,53.7,154.2,154.9,826.4,5.5,3866,2059188.6,8843.963239,38.97523862,-77.0156583
PM2643783,2132_0029,2800 WOODLEY RD. N.W.,2017,In Compliance,2800 WOODLEY RD NW,ALONZO O BLISS PROPERTIES,3,WASHINGTON,DC,20008,1942,Multifamily Housing,Multifamily Housing,240521,168467,24,88.3,94.8,154.4,157.5,1077.3,6.4,4627.8,1456938.6,99007.44199,38.92575732,-77.05709739
PM4972906,5155_0169,Integrated Design and Electronics Public Charter School,2017,In Compliance,1027 45TH ST NE,INTEGRATED DESIGN AND ELECTRONICS ACADEMY PUBLIC CHARTER SCHOOL,7,WASHINGTON,DC,20019,1910,K-12 School,K-12 School,69039,100000,66,62.2,65.7,154.4,157.1,576.6,5.8,737.6,1249381.6,19529.31764,38.90470319,-76.93691179
PM3500320,0628_0901,20 F Street,2017,In Compliance,20 F ST NW,AMERICAN COLLEGE OF SURGEONS,6,WASHINGTON,DC,20001,2010,Office,Office,173460,178148,86,49.3,50.2,154.8,157.6,974.1,5.5,2407.6,2573688.9,NA,38.89705702,-77.00997618
PM2275407,1299_1006,Georgetown Plaza,2017,Data Under Review by DOEE,2233 WISCONSIN AV NW,FRANK H HENNEBURG,3,WASHINGTON,DC,20007,1964,Office,Office,219496,123068,85,57,58.6,154.9,155.4,696,5.7,2694.7,1640750.9,14111.49616,38.91994847,-77.07077822
PM3993833,1815_0101,Annunciation,2017,In Compliance,3810 MASSACHUSETTS AV NW,ROMAN CATHOLIC ARCHBISHOP OF WASHINGTON,3,WASHINGTON,DC,20016,1975,K-12 School,K-12 School,55025,59272,25,93,103.6,155.1,163.8,386.9,6.5,379.7,477682.5,38797.98646,38.93015651,-77.07581978
PM4097157,1020_0085,Potomac Senior / Family,2017,Data Under Review by DOEE,1225 G ST SE,DISTRICT OF COLUMBIA HOUSING AUTHORITY ,6,WASHINGTON,DC,20003,1968,Multifamily Housing,Multifamily Housing,NA,349266,5,92.6,100.9,155.2,163.2,2278.1,6.5,33417,2837462.6,226700.0056,38.87967319,-76.99001179
PM1997814,0115_0084,1300 19th St NW,2017,In Compliance,1300 19TH ST NW,N19 ASSOCIATES LLC,2,WASHINGTON,DC,20036,1978,Office,Office,132359,133338,91,49.5,51.1,155.5,160.4,732.3,5.5,1438.4,1934795.5,NA,38.90746661,-77.04397876
